,pre,post,merc,hrg
A,0.0,0.0,0,Chromosome
B,0.0,1.0,0,Chromosome
C,0.0,1.0,0,Chromosome
D,0.08139534883720931,0.0,0,Chromosome
E,0.14893617021276595,0.0,0,Chromosome
F,0.7333333333333333,0.0,0,Chromosome
A,0.0,0.0,0,HgS
B,0.0,0.0,0,HgS
C,0.0,0.0,0,HgS
D,0.0,0.0,0,HgS
E,0.0,0.0,0,HgS
F,0.0,0.0,0,HgS
A,0.0,1.0,0,pQBR103
B,0.07086614173228346,1.0,0,pQBR103
C,0.2222222222222222,1.0,0,pQBR103
D,0.0,0.693548387096774,0,pQBR103
E,0.20161290322580644,1.0,0,pQBR103
F,0.5304347826086957,1.0,0,pQBR103
A,0.28,0.5,0,pQBR57
B,0.05405405405405406,0.3627450980392153,0,pQBR57
C,0.0,1.0,0,pQBR57
D,0.0,0.7956989247311826,0,pQBR57
E,0.0,0.8548387096774194,0,pQBR57
F,0.0,1.0,0,pQBR57
A,0.0,1.0,16,Chromosome
B,0.0,1.0,16,Chromosome
C,0.0,0.7555555555555556,16,Chromosome
D,0.013986013986013986,0.0,16,Chromosome
E,0.0,0.0,16,Chromosome
F,0.0,1.0,16,Chromosome
A,0.0,0.0,16,HgS
B,0.0,0.0,16,HgS
C,0.0,0.0,16,HgS
D,0.0,0.0,16,HgS
E,0.0,0.0,16,HgS
F,0.0,0.0,16,HgS
A,0.12598425196850394,0.8059701492537312,16,pQBR103
B,0.35877862595419846,0.9878048780487806,16,pQBR103
C,0.5306122448979592,0.5681818181818182,16,pQBR103
D,1.0,1.0,16,pQBR103
E,0.5454545454545454,1.0,16,pQBR103
F,0.5037037037037037,1.0,16,pQBR103
A,0.5602409638554217,1.0,16,pQBR57
B,0.6477987421383647,0.6836734693877552,16,pQBR57
C,1.0,1.0,16,pQBR57
D,0.2846153846153846,0.7975460122699387,16,pQBR57
E,1.0,0.6836158192090396,16,pQBR57
F,0.448,0.728643216080402,16,pQBR57
